N_REG;NOMBRE_FUNDACION;OBS;ANTIGUA_DENOMINACION;SIGLAS;WEB;CORREO_ELECTRONICO;DIRECCION;DIRECCION_SEDE;PROV;CIUDAD;PROVINCIA;CP;TEL;FAX;CIF;FECHA_INSCRIPCION;FECHA_FUSION;FECHA_EXTINCION;FIN;FIN_2;FIN_3;OBJETO
568V;FUNDACIÓN HURACÁN VALENCIA CLUB DE FÚTBOL DE LA COMUNITAT VALENCIANA;;;;;;Polideportivo de Manises. Avinguda dels Esports, s/n;;46;MANISES;VALÈNCIA;46940;;;;2013/02/25 00:00:00.000;;;30;35;;De acuerdo con el artículo 7 de sus Estatutos, relativo a los Fines fundacionales: “Los fines de interés general de la Fundación Huracán Valencia Club de Fútbol de la Comunidad valenciana son: a) Cooperar en el ámbito social al cumplimiento de los fines de interés general del Huracán Valencia Club de Fútbol, consistentes en potenciar la práctica del fútbol en sus distintas categorías y edades y, con carácter general, la práctica de todos los deportes. b) Potenciar todos los aspectos culturales vinculados al deporte, así como fomentar los valores inherentes a la práctica deportiva y la promoción de ésta como un instrumento educativo susceptible de contribuir al desarrollo integral de la personalidad de quienes lo practican y también como un factor de integración social en beneficio de quienes padecen cualquier tipo de marginación. c) Apoyar el fútbol base y de formación, que constituirá la cantera del Huracán Valencia Club de Fútbol. d) Divulgar y difundir las actividades futbolísticas que lleven a cabo los equipos pertenecientes a la disciplina del Huracán Valencia Club de Fútbol, sus filiales y Escuelas Colaboradoras. e) Apoyar el fútbol y el deporte valenciano jy de modo prioritario, el desarrollado en el municipio de Manises y la provincia de Valencia. f) Colaborar con las Administraciones Públicas en la promoción del deporte en general y en la del fútbol en particular. g) Cualquier otra finalidad que, con carácter general, implique la materialización del espíritu que informa la constitución de la Fundación”
569V;FUNDACIÓN NOTARIAL PARA LA MEDIACIÓN Y EL ARBITRAJE SOLUTIO LITIS FUNDACIÓN DE LA COMUNITAT VALENCIANA;;;;;info@fundacionsolutiolitis.org;Calle Pascual y Genís, nº 21;;46;VALÈNCIA;VALÈNCIA;46002;963514553;;;2013/05/28 00:00:00.000;;;90;;;De acuerdo con el artículo 2º de sus Estatutos, relativo a los Fines y actividades fundacionales:. “1. Constituyen los fines fundacionales:. A. La promoción del arbitraje y la resolución de conflictos.. B. La promoción y el fomento de la mediación y arbitraje institucionales y de cualesquiera otras vías alternativas que faciliten la solución convencional de las controversias.. 2. Los fines señalados atenderán al interés general consistente en la evitación de conflictos o, en su defecto, a una pronta y justa resolución extrajudicial de los mismos.
570V;FUNDACIÓ DE QUALITAT DE VIDA DE LES PERSONES MAJORS DE LA COMUNITAT VALENCIANA;;;;;;D. José Fornés Ruiz, Presidente del Consejo Valenciano de Personas Mayores c/ Castán Tobeñas, nº 77-torre 3/sótano;Calle Fuencaliente, nº 1 (46023);46;VALÈNCIA;VALÈNCIA;46023;;;;2013/06/07 00:00:00.000;;;10;13;;De acuerdo con el artículo 7 de sus Estatutos, relativo a los Fines y Actividades: 1.- La Fundación tiene como finalidad contribuir a la mejora de la calidad de vida de las personas mayores en la Comunidad Valenciana, a través de programas y acciones. 2.- Asimismo, la Fundación se propone como objetivos el desarrollo de todas las iniciativas y productos tendentes a mejorar la autonomía y calidad de vida las personas mayores y el impulso y ejecución de estrategias de actuación para prevenir la aparición de o el agravamiento de enfermedades o discapacidades y de sus secuelas en las personas mayores, mediante: a.- Promoción de condiciones de vida saludables. b.- Programas específicos de carácter preventivo y rehabilitación. c.- Planes Generales de Prevención de situaciones de dependencia.-
571V;FUNDACIÓN ANZO DE LA COMUNITAT VALENCIANA;;;;;airanzo1@msn.com      ASESORÍA DE LA FUNDACIÓN: delta@deltasesores.com;c/ Orden de la Merced, nº 25-7;Calle Alcalde Albors nº 21 Bajo (46018 València);46;EL PUIG;VALÈNCIA;46450;963 260 515    96 391 68 02;;;2013/07/09 00:00:00.000;;;30;32;;“Son fines de la Fundación Apoyar la divulgación, estudio, fomento, promoción, etímulo y desarrollo de las obras del pintor “ANZO” Jose Iranzo Almonacid y del arte en general, dinamizando todas las acciones relativas a la cultura dirigidas a la consecución de los fines explicitados”.. Conforme a su artículo 4 , “Actividades”, “Para la consecución de los fines mencionados en el artículo anterior, la Fundación realizará las siguientes actividades:. 1.- Apoyar la optimización de los recursos del área de actuación de la Fundación para su desarrollo armónico e integral.. 2.- Servir a los ciudadanos, asociaciones socales, empresariales, culturales y otras relacionadas con los fines de la Fundación, como centros recetores y distribuidores de toda la información relativa al campo de desarrollo Nexus diversas manifestaciones explicitadas como fines de la Fundación, tanto a nivel nacional como internacional centrándose esa labor, principalmente, en el conocimiento de las dotaciones, recursos y proyectos existentes en cada momento susceptibles de ser llevados a cabo por la Fundación o sus asociados.. 3.-  Establecer con las diversas Administraciones, Instituciones, asociaciones y otros colectivos vinculados al arte y la cultura, una estrecha colaboración a todos los niveles.. Para alcanzar dichos objetivos, la Fundación podrá desarrollar las actividades siguientes:. a) Organizar, coordinar y realizar actividades socioculturales, investigadoras, tecnológicas, así como todas aquellas otras relacionadas con los fines de la Fundación , y realizar actividades tales como seminarios, conferencias, exposiciones, investigaciones y estudios relativos a la obra del citado pintor y del arte en general, así co editar en su caso todo tipo de material de soporte escrito, audiovisual, o electromagnético de carácter especializado, didáctico o meramente divulgativo.. b) Proyectar, preparar y ejecutar cuantas acciones o actividades sean necesarias para conseguir una adecuada información y conocimiento de la obra del citado pintor y del arte en general.. c) Promover e intercambio de experiencias y búsqueda de líneas de actuación conjunta con entidades análogas”
572V;FUNDACIÓN ALANNA FUNDACIÓN DE LA COMUNITAT VALENCIANA;;;;;;Plaza Fray Luis Colomer nº 3 Bj Izda;;46;VALÈNCIA;VALÈNCIA;46021;;;;2013/07/10 00:00:00.000;;;10;;;De acuerdo con el artículo 6 de sus Estatutos, relativo a los Fines fundacionales: “La Fundación tiene por objeto el desarrollo, promoción y/o gestión, directa o indirecta, total o parcial, de actuaciones en materia de: ACCIÓN SOCIAL: asistencia e intervención en todos los ámbitos de la inclusión social y en su más amplio espectro (información, asesoramiento, orientación, asistencia, formación, investigación, etc), así como en las consecuencias de la exclusión y materias propias (orientación e inserción sociolaboral, formación prelaboral y laboral, socioducativo, sanitario, psicológico, jurídico,..), así como cualesquiera otra actividad de acción social destinadas al cumplimiento de la inclusión social, tanto en el ámbito individual como familiar y social. SENSIBILIZACIÓN: Promoviendo y participando en cualquier acto que tenga por objeto la sensibilización y conocimiento de los finesde la Fundación. VOLUNTARIADO SOCIAL: promover y fomentar el voluntariado social tanto entre personas físicas como organizaciones de todo tipo. RESPONSABILIDAD SOCIAL CORPORATIVA: Promover y fomentar el comportamiento socialmente responsable de las empresas. VIOLENCIA DE GENERO: Prevención, intervención e investigación. GÉNERO: Promover y fomentar la implantación de planes de igualdad y la prevención de desigualdades. ECONOMIA SOCIAL: Promover, participar y fomentar la economía social y las empresas de inserción. COOPERACIÓN INTERNACIONAL: Desarrollar actividades y programas relacionados con los principios y objetivos de la cooperación internacional para el desarrollo. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa.
573V;FUNDACIÓ MUSICAL JOAN GARCÉS QUERALT DE LA COMUNITAT VALENCIANA;;;;;;Calle Major, 46;;46;FAURA;VALÈNCIA;46512;;;;2013/08/02 00:00:00.000;;;30;;;De acuerdo con el artículo 5 de sus Estatutos, la fundación persigue los siguientes fines:. Desarrollar las artes musicales, fundamentalmente en la Escuela de música “Joan Garcés Queralt” de Faura y Benifaió de les Valls, y también, en la Societat Joventut Musical de Faura, ubicada igualmente en Faura.. Con el fin de estimular las dotes artísticas de la Societat Musical, es deseo del fundador que concurra anualmente al certamen internacional de bandas de música, que se celbra anualmente en Valencia.
574V;RURAL D'ALGINET, FUNDACIÓ DE LA COMUNITAT VALENCIANA;;;;;jcamacho@caixaruralalginet.es;Calle Valencia, nº 13;;46;ALGINET;VALÈNCIA;46230;615455737 o 961751311;;G98502503;2013/08/23 00:00:00.000;;;10;17;;De acuerdo con el artículo 6 de sus Estatutos, relativo a los Fines y actividades:. “La Fundación tiene por objeto la realización de actividades tendentes a la promoción cultural, social, asociativa y asistencial, cooperación para el desarrollo, defensa del medio ambiente, apoyo del mundo rural y de modelos de desarrollo sostenible, fomento de la economía y de la investigación en el entorno local de Alginet y, en particular, asumir la continuidad de la actividad social de la fundadora, Caja Rural de Alginet, cualquiera que fuere su evolución dentro del sistema financiero español. Corresponde al Patronato determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa.
575V;FUNDACIÓN LA POSTA DE LA COMUNITAT VALENCIANA;;;;;;a/a Guillem Cervera Pascual. Calle La Vall Llonga, 3 (Urbaniz. Valle del Sol). 03110 MUTXAMEL;Carrer Fillol, nº 2. 46003 - VALENCIA;3;MUTXAMEL;ALICANTE;3110;;;G98550403;2013/10/21 00:00:00.000;;;30;;;De acuerdo con el artículo 6 de sus Estatutos, relativo a los Fines fundacionales: . “La Fundació té com a objecte la investigación i divulgación de l’art contemporani, concebut com a una finalitat d’interés general. Correspon al Patronat de la Fundació determinar la manera en què s’haurà de complir la dita finalitat. Els servicis de la Fundació es prestaran de forma no lucrativa.. L'objecte de la Fundación es desenrotllarà a través d’alguna de les formes d’actuació següents:. a) per mitjà de l’acceptació per part del Patronat de la prestació de servicis de professionals lliures - que es retribuiran amb les aportacions fetes pels benefactors i patrocinadors de les activitats de la Fundació, bé generals o específiques per a l’activitat en qüestió -, en el marc de la programación que se sotmeta a la seua aprovació.. Quan la proposta siga feta pels Comissaris residents, la mateixa tindrà caràcter preferent però no excloent.. b) per mitjà de la contractació acordada pel Patronat de la prestació de servicis en règim civil o mercantil, que es retribuirà amb els rendiments de la prestació dels dits servicis, sense trasllat del risc a la Fundació, i amb abonament a la mateixa d’un cànon i de la part proporcional dels gastos generlas de funcionament i conservació del local en què s´exercixen les activitats.. c) per mitjà de la contratación de la prestación de servicis en règim laboral, acordada pel Patronat, d’acord amb la normativa vigent.. A més, a fi d’obtindre ingressos, la Fundación podrà realitzar activitats mercantils l´objecte de la qual estiga relacionat amb les finalitats fundacionals o siguen complementàries o accessòries de les anteriors”.
576V;FUNDACIÓ VIDA EN ARMONIA, FUNDACIÓ DE LA COMUNITAT VALENCIANA;;;;;;Calle General Palanca, nº 4;;46;VALÈNCIA;VALÈNCIA;46003;;;;2013/12/10 00:00:00.000;;;10;17;;De acuerdo con el artículo 3 de sus Estatutos, relativo a los Fines y actividades:. “1. La misión de la Fundación Vida en Armonía es contribuir al desarrollo integral de las sociedades, así como promover la igualdad de oportunidades y el cuidado de personas en riesgos de exclusión social por razones sociales, económicas, mentales, físicas o culturales, ahí donde sea necesario.. 2. Para el mejor cumplimiento de sus fines, la Fundación realizará las siguientes actividades: creación, ejecución, seguimiento y control de proyectos específicos dirigidos a mejorar el conocimiento y la calidad de vida de colectivos necesitados, así como la búsqueda y selección de proyectos afines en los cuales pueda colaborar.. 3. Con ese propósito, la Fundación perseguirá fines de interés general de carácter social, así como otros de carácter cultural, medioambiental y científico, educativo y de fomento de la investigación.. La Fundación, según determine su Patronato, proyectará libremente sus actuaciones en la forma que considere más adecuada para el cumplimiento de los fines antes expresados. No obstante, debido a la amplitud de tales fines, la Fundación Vida en Armonía concreta los mismos fundamentalmente a los siguientes:. ACCIÓN SOCIAL . Articular y encauzar esfuerzos para actuar junto a los colectivos sociales necesitados, independientemente del lugar en que se encuentren.. Promover la participación de particulares y empresas en los proyectos y actividades realizados por la fundación.. ACCIÓN CULTURAL. Promover la difusión - entre los más desfavorecidos - del conocimiento científico, las artes y la cultura.. Contribuir al progreso y desarrollo de las realidades sociales, políticas, económicas, culturales y medioambientales.. ACCIÓN MEDIOAMBIENTAL. . Fomentar y colaborar en proyectos que promuevan la concienciación de las sociedades respecto a la necesidad de adoptar un modelo de desarrollo sostenible.. ACCIÓN EN EL ÁMBITO CIENTÍFICO, EDUCATIVO Y DE INVESTIGACIÓN.. Promover el conocimiento y la investigación de técnicas terapéuticas que proporcionen el bienestar físico y emocional de las personas.. Impulsar y realizar proyectos de formación educativa dirigidos a niños, adultos y mayores.. A la consecución de estos fines se encaminarán los planes de actuación y programas específicos que emprenda la Fundación por decisión del Patronato. Los cuales podrán consistir en acciones directas de la propia Fundación o en su participación o apoyo a programas y acciones impulsadas por terceros. Los medios para su realización serán, entre otros, el patrocinio y mecenazgo, la participación y organización de grupos de trabajo, convenciones, conferencias, cursos, foros y seminarios, la concesión de premios, becas y de ayudas al estudio, la edición de publicaciones y cualesquiera otros que permitan el cumplimiento de los objetivos marcados.”
577V;FUNDACIÓN VALENCIA CLUB DE ATLETISMO DE LA COMUNITAT VALENCIANA;;;;;RAFABLANQUERANGEL@GMAIL.COM;Paseo de la Pechina, nº 40 bajo;;46;VALÈNCIA;VALÈNCIA;46008;699477156;;;2013/12/27 00:00:00.000;;;35;;;"De acuerdo con el artículo 6 de sus Estatutos, relativo a los Fines y actividades:“La Fundación tiene por objeto el fomento y práctica de la actividad físico deportiva, persiguiendo como fines principales el impulso de la actividad deportiva como causa generadora de hábitos favorecedores de la inserción social y de fomento de la solidaridad, la práctica deportiva como elemento fundamental del sistema educativo, sanitario y de la calidad de vida; Difusión y promoción de la imagen de la Comunitat Valenciana a través del deporte; creación y desarrollo de escuelas deportivas."
578V;FUNDACIÓN BANCAJA, FUNDACIÓN DE LA COMUNITAT VALENCIANA;SI;FUNDACIÓN BANCAJA, FUNDACIÓN DE CARÁCTER ESPECIAL DE LA COMUNITAT VALENCIANA;;;;Calle General Tovar, nº 3;;46;VALÈNCIA;VALÈNCIA;46003;;;G46002804;2014/03/28 00:00:00.000;;;90;;;"“1. La Fundación tiene afectado de modo duradero su patrimonio a la realización de fines de interés general.. 2. En concreto, la Fundación tiene como fines:. “a) La atención y desarrollo de la obra benéfica social, que tendrá por finalidad la financiación de obras, propias o en colaboración, en los campos de la sanidad, la investigación, la enseñanza, la cultura y otros que tenga carácter social, principalmente en el ámbito territorial de la Comunitat Valenciana.. 	b) Los servicios de asistencia social, así como cualesquiera otros que respondan a 	las necesidades sentidas por la sociedad, incluidos la formación profesional, la 	inserción laboral o la creación de empleo a favor de las personas con discapacidad 	que permita la creación de puestos de trabajo para aquéllas y, finalmente, su 	integración en el mercado de trabajo.. 	c) Con carácter auxiliar, la actividad de fomento de la inclusión y de la educación 	financiera.”"
579V;FUNDACIÓN CULTURA DE RECURSOS Y SOLIDARIDAD DE LA COMUNITAT VALENCIANA;;;;;;Gran Vía Marqués del Turia nº 77 - 2 - 2;;46;VALÈNCIA;VALÈNCIA;46005;;;;2014/04/24 00:00:00.000;;;30;;;La Fundación tiene por objeto:. a) Promover y difundir la cultura, el estudio y la investigación en el más amplio sentido, preferentemente en los ámbitos estudiantiles y culturales.. b) Crear foros de intercambio de ideas y de diálogo multidisciplinar sobre aspectos de la cultura en general y la investigación en particular.. c) Fomentar el intercambio de investigaciones y experiencias con alumnos y profesores de distintos países, especialmente de Iberoamérica y el área mediterránea, y profundizar sobre los valores que conforman la cultura contemporánea.. d) Propiciar la obtención de ayudas, principalmente para estudiantes, con el fin de posibilitar su incorporación a centros cualificados de investigación y enseñanza.. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa.
580V;FUNDACIÓN CARRALERO DE LA COMUNITAT VALENCIANA;;;;;info@fundacioncarralero.org;Calle Doctor Simarro, 3 Oficina 1, Centro Empresarial Xàtiva (CEX);calle Doctor Simarro, número 3, Oficina 1, “Centro Empresarial Xátiva”(CEX).;46;XÀTIVA;VALÈNCIA;46800;634 594 070;;;2014/05/12 00:00:00.000;;;17;;;La Fundación tiene por objeto fines de interés social como el asesoramiento, formación y acción social tales como: . 1 Asesoramiento en materia de orientación e inserción laboral a colectivos de personas con necesidades de integración laboral.. 2. Asesoramiento en materia de emprendurismo para el desarrollo de nuevas actividades económicas a colectivos que necesiten la integración en el mercado laboral.. 3. Formación y desarrollo de habilidades y capacidades personales y profesionales orientadas a mejorar la calidad de vida de las personas.. 4. Promover el voluntariado y la actitud solidaria de las personas en pro de aquellos grupos vulnerables, sin recursos o con riesgo de exclusión social.. 5. Atención sanitaria buco-dental a personas vulnerables, sin recursos o en riesgo de exclusión social.. 6. Promoción, sensibilización, prevención y formación de la salud buco-dental en todos aquellos colectivos vulnerables con riesgo de exclusión social.. Corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa.. El desarrollo del objeto de la Fundación se efectuará a través de alguna de las formas siguientes líneas de actuación: . 1. Organización de programas de orientación e inserción laboral. . 2. Diseño y ejecución de acciones de promoción y apoyo del emprendurismo. . 3. Desarrollo de cursos, talleres, charlas, programas formativos orientados al desarrollo de habilidades personales. . 4. Desarrollo de acciones solidarias para aquellos colectivos que más lo . necesiten, mediante diferentes campañas anuales.. 5. Promover el voluntariado de profesionales de la sociedad en pro de la difusión . del conocimiento y la prestación de servicios para los más necesitados. . 6. Organización, ejecución o participación en charlas, cursos, coloquios,  seminarios, mesas redondas, simposio, congresos, encuentros, conferencias, debates y jornadas en las que se aborden cuestiones relativas a la Odontología y Salud Bucal así como cualquiera de los fines fundacionales.. 7. Realización de acciones de apoyo o colaboración con las distintas Administraciones, Instituciones, Asociaciones o Colegios Profesionales de ámbito público o privado en beneficio del desarrollo social de la Comunidad.. 8. Edición o colaboración en publicaciones de contenido odontológico y de salud bucal que contribuyan a dar un mayor conocimiento o información sobre la prevención y cuidado de la higiene bucal.. 9. Realización acciones desensibilización social para fomentar el desarrollo e información sobre la salud buco dental en la ciudadanía de la población.. 10. Realización de jornadas de Asistencia Bucodental para aquellos grupos necesitados o en riesgo de exclusión social.. 11. Organización y ejecución de programas de formación técnica dirigidos a profesionales de la salud bucodental y de otros ámbitos afines.. 12. Y en general, cualesquiera otras actividades que decida el Patronato relacionad con el desarrollo y ejecución de los fines fundacionales.”
581V;FUNDACIÓ PER AMOR A L'ART DE LA COMUNITAT VALENCIANA;;;;;alvaroballester@fpaa.es   jig.garciacervera@bufeteabogados.net;Av. de Burjasot, nº 54-56. Edificio Bombas Gens;;46;VALÈNCIA;VALÈNCIA;46009;96 346 38 56;;;2014/09/02 00:00:00.000;;;17;;;"De acuerdo con los artículos 7 y 8, respectivamente, de sus Estatutos, relativos a los Fines y Actividades:. “La Fundación tiene por objeto promover la asistencia social y sanitaria de colectivos, en especial de la infancia, que se encuentren en situación de desamparo, sin medios económicos suficientes y/o en riesgo de exclusión social, y fomentar la sensibilidad artística a través de la cultura.”. “La Fundación, para la consecución de sus fines, puede realizar, entre aftas, las siguientes actividades:. 1.- Área asistencial y sanitaria:. -La Fundación desarrollará formas de intervención sobre la infancia, con el fin de mejorar la calidad de vida de los niños más desprotegidos, que se encuentren en situación de vulnerabilidad o riesgo de exclusión social, mediante la articulación de los mecanismos adecuados que garanticen su integridad y sustento, procurando que se desarrollen sanos y felices. La Fundación, en el desarrollo de este fin fundacional, podrá suministrar vestido y alimento a los niños, y/o crear espacios dotados de las características y del personal necesarios para la consecución de tales fines.. -La Fundación podrá sustentar y apoyar Órdenes Religiosas, Organismos no Gubernamentales y/o demás instituciones que, sin ánimo lucrativo, emprendan proyectos a favor de los niños y sus familias que se encuentren en riesgo de exclusión social con el fin de mejorar sus condiciones de vida.. -La Fundación desarrollará y apoyará la investigación médica/científica sobre la enfermedad de Wilson y otras enfermedades que tengan la consideración de “raras”y/o que afecten a la infancia, con el propósito específico de crear y desarrollar y distribuir nuevos fármacos, vacunas y/o tratamientos que ayuden a paliar o, en su caso curar, aquéllas enfermedades; facilitando el acceso a tales avances médicos/científicos a todos aquellos niños cuyas familias no puedan permitírselos. . 2.- Área de mecenazgo:. -La Fundación facilitará el acceso al público en general del arte en sus diferentes manifestaciones, priorizando la pintura y la fotografía, organizando exposiciones, intercambios de obras con fondos de otras fundaciones o entidades, y demás actividades que persigan el mismo fin.. -La Fundación, en el desarrollo, de este fin fundacional, podrá promover becas, constituir ayudas y/o esponsorizar a artistas con el objetivo de desarrollar su potencial.. -Asimismo, para el desarrollo de esta área del fin fundacional, la Fundación podrá crear espacios dotados de las características y el personal necesario que acerquen las obras de arte al público en general.. Todas estas actividades, contenidas en las dos citadas áreas fundacionales, se llevarán a cabo de acuerdo con la legislación vigente.”"
582V;FUNDACIÓN DE LA COMUNITAT VALENCIANA JASÓN;;;;;;Avenida Barón de Cárcer, nº 26 – 51;;46;VALÈNCIA;VALÈNCIA;46001;;;;2014/10/01 00:00:00.000;;;80;;;De acuerdo con el artículo 5 de sus Estatutos – finalmente recogidos en la citada escritura de número de protocolo 846, de 19 de septiembre de 2014, del Notario D. Salvador Alborch Domínguez - relativo a los Fines y Actividades: “La Fundación persigue como fin último el fomento y desarrollo de la innovación, la competitividad y el desarrollo sostenible, orientados hacia la consecución de la excelencia empresarial, fundamentalmente a nivel nacional, no descartándose la posibilidad de ejercer su actividad para el mismo fin a nivel internacional
583V;FUNDACIÓN DE LA COMUNITAT VALENCIANA VICENTE SILVESTRE I CONSUELO JULIÁN;;;;;;Camino de Vera, s/n, Edificio 3A;;46;VALÈNCIA;VALÈNCIA;46022;;;;2014/10/30 00:00:00.000;;;21;;;De acuerdo con el artículo 6 de sus Estatutos, son fines y actividades de la Fundación: “La Fundación tiene por objeto el fomento, promoción y apoyo a la investigación científica, la formación y docencia en el ámbito de la ingeniería y maestría industrial. El desarrollo del objeto de la Fundación se efectuará realizando todo tipo de estudios, cursos, investigaciones y cualesquiera otras actividades de carácter científico y cultural y de interés social, con el objeto de contribuir al desarrollo de las actividades propias de dichas profesiones y oficios, en cualquiera de sus especialidades o modalidades.”-
584V;FUNDACIÓN DE LA COMUNITAT VALENCIANA PARA EL EMPLEO Y LA INTEGRACIÓN;;;;;;Avenida de las Cortes Valencianas, nº 41, 1º, despacho A;;46;VALÈNCIA;VALÈNCIA;46015;;;;2014/11/25 00:00:00.000;;;18;;;La Fundación tiene por objeto: 1.-La integración socio-laboral en el mercado ordinario y en la sociedad de colectivos especialmente desfavorecidos y en riesgo de exclusión. 2.- La integración socio-laboral en el mercado ordinario y en la sociedad de personas con discapacidad física y psíquica. 3.- La formación de personas con discapacidad física y psíquica para su posterior inserción activa en el mercado laboral y en la sociedad. Corresponde al Patronato de la Fundación determinar el modo en el que se deberán cumplir los fines enumerados en este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa. El desarrollo del objeto de la Fundación se efectuará a través de las formas siguientes de actuación: - Prestación de servicios de forma directa, generando empleo directo para la integración de colectivos en riesgo de exclusión y de personas con discapacidad física y psíquica. - Ejercer actividades económicas principales y subordinadas necesarias para el cumplimiento de los fines. -Participar de forma activa en organizaciones de interés público o privado que trabajen a favor de la integración social de colectivos socialmente desfavorecidos y en riesgo de exclusión. -De modo genérico, desarrollar cuantas actuaciones sean necesarias para el logro de sus fines.”
585V;FUNDACIÓ DE LA COMUNITAT VALENCIANA PER A L'ENSENYAMENT I PROMOCIÓ DE LA SEGURETAT VIAL - FUNCOVIAL;;;;;;Carrer de Sant Miquel, s/n;;46;ALMUSSAFES;VALÈNCIA;46440;654334799;;;2015/01/26 00:00:00.000;;;90;;;D’acord amb l’article 5 dels seus estatuts, són fins i activitats de la fundació: “- La promoció i l’ensenyament de la seguretat vial tendent al fet que la sinistralitat en les vies de trànsit disminuïsca, aportant la seua tasca pedagògica a diferents col·lectius de persones sensibles
586V;TODOLI CITRUS FUNDACIÓ DE LA COMUNITAT VALENCIANA;;;;;;Calle Església, 28 bajo;;46;PALMERA;VALÈNCIA;46714;;;;2014/12/16 00:00:00.000;;;50;;;"De acuerdo con el artículo 5 de sus Estatutos, relativo a los Fines fundacionales: “En particular, con carácter enunciativo y no limitativo, la Fundación tiene por objeto: A.- Contribuir a la identificación y establecimiento de colecciones de variedades antiguas, actuales, ornamentales,culinarias y aromáticas de los grupos citricolas identificados como amargas,blancas, sanguinas, navel, satsumas, clementinas, pomelos, limoneros, cedros, bergamotas, limetas, papadas, fortunelas, ponciros, microcitricos, lumias, mirtifolias, híbridos intraespecíficos e interespecíficos y portainjertos. B.- Actuar de foro de investigación, desarrollo y diseminación de informacion acerca de los grupos citrícolas y sus colecciones. C.- Contribuir a su promoción y conservación a través de la creación de un jardín botánico citrícola que permita impulsar la educación y concienciación publica en sus vertientes científica, cultural, histórica, social, ambiental, económica y sociológica. D.- Desde la cultura citrícola agraria tradicional, fomentar la realización de actividades medioambientales y la educación ambiental entre los jóvenes de la Comunitat Valenciana. E.- Fomentar valores de sistemas de cultivo sostenibles, y respetuosos con el 	medio ambiente. F.- Colaborar con cuantas personas físicas o jurídicas organismos e instituciones publicas o privadas, nacionales o internacionales, actúen en consonancia con los fines de la fundación o tengan los mismos o similares objetivos, para lo cual la fundación podrá suscribir convenios, acuerdos u otros instrumentos de cooperación. Corresponde al patronato de la fundación determinar la manera en que se deben cumplir estos fines enumerados. Las prestaciones de la Fundación se otorgarán de forma no lucrativa"
587V;FUNDACIÓN DE LA COMUNITAT VALENCIANA SIGRID HERVE JADOUL MES QUE GOSSOS;;;;;;Calle Palleter nº 10 pta. 4;;46;ALAQUÁS;VALÈNCIA;46970;;;;2014/12/17 00:00:00.000;;;50;;;De acuerdo con el artículo 5 de sus Estatutos, la Fundación tiene como fines fundaciones los siguientes:  Acoger, cuidar y fomentar la adopción responsable de animales abandonados que son recogidos.  Concienciación mediante campañas informativas sobro el respeto a los animales y la naturaleza. Actuar como un órgano de denuncia ante las entidades tanto públicas, como privadas y ante la sociedad en general en defensa de los animales que no reciban un trato correcto. Actuar como órgano consultivo cuando lo requiera cualquier entidad pública o privada en todos los asuntos relacionados con la protección y defensa animal. Potenciar el cumplimiento de la normativa legal establecida acerca de la protección de animales de Compañía. Contribuir a la mejor calidad de vida y bienestar de los animales
588V;FUNDACIÓ ADIEM DE LA COMUNITAT VALENCIANA;;;;;;Calle Sant Ignaci, número 38;;46;ONTINYENT;VALÈNCIA;46870;;;G98660509;2015/02/26 00:00:00.000;;;15;10;;"De acuerdo con los artículos 7 y 8 de sus Estatutos, son fines y actividades de la Fundación:“ Art. 7.- Fines de la Fundación: La Fundación tiene por objeto la atención y prestación de servicios a las personas con enfermedad mental en todos los ámbitos de su vida. Corresponde al Patronato de la Fundación determinar el modo en que se cumplirá el objeto, que podrá ser bien directamente por la propia Fundación o en colaboración con otras personas físicas o jurídicas. Art. 8.- Programa de actividades: El Patronato determinará y decidirá discrecionalmente y con plena libertad, el programa de actividades de la Fundación tendente a la consecución de aquellos objetivos concretos que, a su juicio y dentro del cumplimiento de su finalidad, sean los más adecuados o convenientes en cada momento. Para llevar a término las finalidades de la Fundación, el Patronato podrá decidir, entre otros: a) Como entidad tutelar, asumir y ejercer los cargos tutelares que le enco-	miende la autoridad judicial referente a personas con enfermedad mental. b) Promover y gestionar recursos residenciales y de rehabilitación psicosocial y laboral que contribuyan al bienestar o a la mejora de la calidad de vida de las personas con trastornos mentales permanentes. c) Generar empleo, mediante cualquier forma legal, protegido o no para la integración laboral de las personas con trastornos mentales permanentes"
